% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
1.979507390000e+00, 2.6460203973e-04
1.979702704000e+00, 2.6460203973e-04
1.979898018000e+00, 2.6460203973e-04
1.980093332000e+00, 2.6460203973e-04
1.980288646000e+00, 2.6460203973e-04
1.980483960000e+00, 0.0000000000e+00
1.980679274000e+00, 2.6460203973e-04
1.980874588000e+00, 0.0000000000e+00
1.981069902000e+00, 5.2920407947e-04
1.981265216000e+00, 2.6460203973e-04
1.981460530000e+00, 0.0000000000e+00
1.981655844000e+00, 0.0000000000e+00
1.981851158000e+00, 5.2920407947e-04
1.982046472000e+00, 0.0000000000e+00
1.982241786000e+00, 5.2920407947e-04
1.982437100000e+00, 0.0000000000e+00
1.982632414000e+00, -2.6460203973e-04
1.982827728000e+00, 0.0000000000e+00
1.983023042000e+00, 5.2920407947e-04
1.983218356000e+00, 0.0000000000e+00
1.983413670000e+00, 5.2920407947e-04
1.983608984000e+00, 5.2920407947e-04
1.983804298000e+00, 7.9380611920e-04
1.983999612000e+00, 2.6460203973e-04
1.984194926000e+00, 5.2920407947e-04
1.984390240000e+00, -1.3230101987e-03
1.984585554000e+00, 2.6460203973e-04
1.984780868000e+00, 2.6460203973e-04
1.984976182000e+00, -1.3230101987e-03
1.985171496000e+00, 2.6460203973e-04
1.985366810000e+00, -2.6460203973e-04
1.985562124000e+00, -2.6460203973e-04
1.985757438000e+00, 2.6460203973e-04
1.985952752000e+00, 2.6460203973e-04
1.986148066000e+00, 0.0000000000e+00
1.986343380000e+00, 0.0000000000e+00
1.986538694000e+00, 7.9380611920e-04
1.986734008000e+00, 2.6460203973e-04
1.986929322000e+00, -2.6460203973e-04
1.987124636000e+00, 0.0000000000e+00
1.987319950000e+00, 0.0000000000e+00
1.987515264000e+00, -2.6460203973e-04
1.987710578000e+00, -1.8522142781e-03
1.987905892000e+00, 0.0000000000e+00
1.988101206000e+00, -2.6460203973e-04
1.988296520000e+00, 0.0000000000e+00
1.988491834000e+00, -1.0584081589e-03
1.988687148000e+00, 0.0000000000e+00
1.988882462000e+00, 2.6460203973e-04
1.989077776000e+00, -1.0584081589e-03
1.989273090000e+00, -5.2920407947e-04
1.989468404000e+00, -5.2920407947e-04
1.989663718000e+00, 0.0000000000e+00
1.989859032000e+00, 0.0000000000e+00
1.990054346000e+00, 0.0000000000e+00
1.990249660000e+00, 2.6460203973e-04
1.990444974000e+00, -5.2920407947e-04
1.990640288000e+00, -5.2920407947e-04
1.990835602000e+00, 2.6460203973e-04
1.991030916000e+00, 2.6460203973e-04
1.991226230000e+00, -1.0584081589e-03
1.991421544000e+00, 2.6460203973e-04
1.991616858000e+00, -2.6460203973e-04
1.991812172000e+00, 2.6460203973e-04
1.992007486000e+00, 0.0000000000e+00
1.992202800000e+00, 0.0000000000e+00
1.992398114000e+00, 0.0000000000e+00
1.992593428000e+00, -5.2920407947e-04
1.992788742000e+00, -2.6460203973e-04
1.992984056000e+00, 0.0000000000e+00
1.993179370000e+00, 2.6460203973e-04
1.993374684000e+00, -1.0584081589e-03
1.993569998000e+00, -2.6460203973e-04
1.993765312000e+00, -5.2920407947e-04
1.993960626000e+00, 0.0000000000e+00
