% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.456374150453e+00, 2.737632e-02, 1.347613e-03
-2.453441388672e+00, 2.697569e-02, -2.695226e-03
-2.450508626891e+00, 2.230168e-02, -4.042840e-03
-2.447575865109e+00, 2.109979e-02, 1.347613e-03
-2.444643103328e+00, 2.791049e-02, 1.347613e-03
-2.441710341547e+00, 3.231741e-02, 1.347613e-03
-2.438777579766e+00, 3.779267e-02, 0.000000e+00
-2.435844817984e+00, 4.273376e-02, -5.390453e-03
-2.432912056203e+00, 4.714068e-02, -2.695226e-03
-2.429979294422e+00, 5.248240e-02, 1.347613e-03
-2.427046532641e+00, 5.902601e-02, 2.695226e-03
-2.424113770859e+00, 6.303230e-02, -1.347613e-03
-2.421181009078e+00, 6.997653e-02, -2.695226e-03
-2.418248247297e+00, 7.865683e-02, -4.042840e-03
-2.415315485516e+00, 8.787130e-02, -1.347613e-03
-2.412382723734e+00, 9.588388e-02, 6.738066e-03
-2.409449961953e+00, 8.760421e-02, 4.042840e-03
-2.406517200172e+00, 7.932454e-02, 1.347613e-03
-2.403584438391e+00, 7.531825e-02, -2.695226e-03
-2.400651676609e+00, 7.238031e-02, -4.042840e-03
-2.397718914828e+00, 6.890819e-02, 0.000000e+00
-2.394786153047e+00, 6.530253e-02, 5.390453e-03
-2.391853391266e+00, 6.129624e-02, 1.347613e-03
-2.388920629484e+00, 6.730567e-02, -2.695226e-03
-2.385987867703e+00, 7.652014e-02, -5.390453e-03
-2.383055105922e+00, 8.266312e-02, -4.042840e-03
-2.380122344141e+00, 8.827193e-02, 1.347613e-03
-2.377189582359e+00, 9.628451e-02, 2.695226e-03
-2.374256820578e+00, 1.053654e-01, 0.000000e+00
-2.371324058797e+00, 1.185862e-01, -4.042840e-03
-2.368391297016e+00, 1.300709e-01, -4.042840e-03
-2.365458535234e+00, 1.221918e-01, -1.347613e-03
-2.362525773453e+00, 1.034958e-01, 2.695226e-03
-2.359593011672e+00, 9.214467e-02, 4.042840e-03
-2.356660249891e+00, 7.732140e-02, -2.695226e-03
-2.353727488109e+00, 6.783985e-02, -2.695226e-03
-2.350794726328e+00, 6.076207e-02, -5.390453e-03
-2.347861964547e+00, 6.089561e-02, 0.000000e+00
-2.344929202766e+00, 6.717213e-02, 2.695226e-03
-2.341996440984e+00, 7.331511e-02, 2.695226e-03
-2.339063679203e+00, 7.705431e-02, -4.042840e-03
-2.336130917422e+00, 8.640232e-02, -4.042840e-03
-2.333198155641e+00, 1.021604e-01, -1.347613e-03
-2.330265393859e+00, 1.207229e-01, 0.000000e+00
-2.327332632078e+00, 1.219248e-01, 4.042840e-03
-2.324399870297e+00, 1.177849e-01, 1.347613e-03
-2.321467108516e+00, 1.306051e-01, -2.695226e-03
-2.318534346734e+00, 1.253969e-01, -4.042840e-03
-2.315601584953e+00, 1.029617e-01, -2.695226e-03
-2.312668823172e+00, 9.147696e-02, 1.347613e-03
-2.309736061391e+00, 8.279666e-02, 4.042840e-03
-2.306803299609e+00, 7.585243e-02, 0.000000e+00
-2.303870537828e+00, 7.838974e-02, -2.695226e-03
-2.300937776047e+00, 8.586815e-02, -5.390453e-03
-2.298005014266e+00, 9.628451e-02, 1.347613e-03
-2.295072252484e+00, 1.028281e-01, 1.347613e-03
-2.292139490703e+00, 1.101730e-01, 1.347613e-03
-2.289206728922e+00, 1.179185e-01, -1.347613e-03
-2.286273967141e+00, 1.161824e-01, -5.390453e-03
-2.283341205359e+00, 1.108407e-01, -4.042840e-03
-2.280408443578e+00, 9.054216e-02, 1.347613e-03
-2.277475681797e+00, 6.543607e-02, 4.042840e-03
-2.274542920016e+00, 5.742349e-02, 1.347613e-03
-2.271610158234e+00, 5.368429e-02, -2.695226e-03
-2.268677396453e+00, 4.740777e-02, -5.390453e-03
-2.265744634672e+00, 4.019644e-02, -1.347613e-03
-2.262811872891e+00, 3.605661e-02, 1.347613e-03
-2.259879111109e+00, 3.418701e-02, 2.695226e-03
-2.256946349328e+00, 3.084843e-02, -1.347613e-03
-2.254013587547e+00, 3.298512e-02, -2.695226e-03
-2.251080825766e+00, 3.525535e-02, -4.042840e-03
-2.248148063984e+00, 3.952873e-02, 1.347613e-03
-2.245215302203e+00, 5.208177e-02, 2.695226e-03
-2.242282540422e+00, 6.049498e-02, 2.695226e-03
-2.239349778641e+00, 7.411637e-02, -1.347613e-03
-2.236417016859e+00, 8.306375e-02, -5.390453e-03
-2.233484255078e+00, 1.022939e-01, -2.695226e-03
-2.230551493297e+00, 1.319405e-01, 0.000000e+00
-2.227618731516e+00, 1.450277e-01, 1.347613e-03
-2.224685969734e+00, 1.440929e-01, 1.347613e-03
-2.221753207953e+00, 1.359468e-01, -1.347613e-03
-2.218820446172e+00, 1.249963e-01, -5.390453e-03
-2.215887684391e+00, 1.057661e-01, 0.000000e+00
-2.212954922609e+00, 7.999226e-02, 2.695226e-03
-2.210022160828e+00, 5.648869e-02, 4.042840e-03
-2.207089399047e+00, 5.101343e-02, -1.347613e-03
-2.204156637266e+00, 5.168114e-02, -2.695226e-03
-2.201223875484e+00, 5.208177e-02, -5.390453e-03
-2.198291113703e+00, 6.837402e-02, -1.347613e-03
-2.195358351922e+00, 9.361365e-02, 1.347613e-03
-2.192425590141e+00, 9.948954e-02, 2.695226e-03
-2.189492828359e+00, 9.655159e-02, -2.695226e-03
-2.186560066578e+00, 1.042971e-01, -2.695226e-03
-2.183627304797e+00, 1.123097e-01, -5.390453e-03
-2.180694543016e+00, 1.184526e-01, 1.347613e-03
-2.177761781234e+00, 1.292696e-01, 4.042840e-03
-2.174829019453e+00, 1.111078e-01, 0.000000e+00
-2.171896257672e+00, 9.334656e-02, -2.695226e-03
-2.168963495891e+00, 8.720358e-02, -4.042840e-03
-2.166030734109e+00, 7.932454e-02, 0.000000e+00
-2.163097972328e+00, 7.518471e-02, 1.347613e-03
-2.160165210547e+00, 6.970945e-02, 4.042840e-03
-2.157232448766e+00, 7.171259e-02, 0.000000e+00
-2.154299686984e+00, 7.972517e-02, -2.695226e-03
-2.151366925203e+00, 9.067570e-02, -2.695226e-03
-2.148434163422e+00, 1.076357e-01, -1.347613e-03
-2.145501401641e+00, 1.217912e-01, 1.347613e-03
-2.142568639859e+00, 1.261981e-01, 1.347613e-03
-2.139635878078e+00, 1.308721e-01, -1.347613e-03
-2.136703116297e+00, 1.444935e-01, -4.042840e-03
